trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R001_D0_T01,06:05:00,06:07:00,S001,1,0,0
R001_D0_T01,06:13:00,06:15:00,S003,2,0,0
R001_D0_T01,06:21:00,06:23:00,S002,3,0,0
R001_D0_T02,06:05:00,06:07:00,S001,1,0,0
R001_D0_T02,06:13:00,06:15:00,S003,2,0,0
R001_D0_T02,06:21:00,06:23:00,S002,3,0,0
R001_D0_T03,06:05:00,06:07:00,S001,1,0,0
R001_D0_T03,06:13:00,06:15:00,S003,2,0,0
R001_D0_T03,06:21:00,06:23:00,S002,3,0,0
R001_D0_T04,06:05:00,06:07:00,S001,1,0,0
R001_D0_T04,06:13:00,06:15:00,S003,2,0,0
R001_D0_T04,06:21:00,06:23:00,S002,3,0,0
R001_D0_T05,06:05:00,06:07:00,S001,1,0,0
R001_D0_T05,06:13:00,06:15:00,S003,2,0,0
R001_D0_T05,06:21:00,06:23:00,S002,3,0,0
R001_D0_T06,06:05:00,06:07:00,S001,1,0,0
R001_D0_T06,06:13:00,06:15:00,S003,2,0,0
R001_D0_T06,06:21:00,06:23:00,S002,3,0,0
R001_D0_T07,06:05:00,06:07:00,S001,1,0,0
R001_D0_T07,06:13:00,06:15:00,S003,2,0,0
R001_D0_T07,06:21:00,06:23:00,S002,3,0,0
R001_D0_T08,06:05:00,06:07:00,S001,1,0,0
R001_D0_T08,06:13:00,06:15:00,S003,2,0,0
R001_D0_T08,06:21:00,06:23:00,S002,3,0,0
R001_D0_T09,06:05:00,06:07:00,S001,1,0,0
R001_D0_T09,06:13:00,06:15:00,S003,2,0,0
R001_D0_T09,06:21:00,06:23:00,S002,3,0,0
R001_D0_T10,06:05:00,06:07:00,S001,1,0,0
R001_D0_T10,06:13:00,06:15:00,S003,2,0,0
R001_D0_T10,06:21:00,06:23:00,S002,3,0,0
R001_D0_T11,06:05:00,06:07:00,S001,1,0,0
R001_D0_T11,06:13:00,06:15:00,S003,2,0,0
R001_D0_T11,06:21:00,06:23:00,S002,3,0,0
R001_D0_T12,06:05:00,06:07:00,S001,1,0,0
R001_D0_T12,06:13:00,06:15:00,S003,2,0,0
R001_D0_T12,06:21:00,06:23:00,S002,3,0,0
R001_D0_T13,06:05:00,06:07:00,S001,1,0,0
R001_D0_T13,06:13:00,06:15:00,S003,2,0,0
R001_D0_T13,06:21:00,06:23:00,S002,3,0,0
R001_D0_T14,06:05:00,06:07:00,S001,1,0,0
R001_D0_T14,06:13:00,06:15:00,S003,2,0,0
