route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R001,WEEKDAY,R001_D0_T01,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T02,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T03,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T04,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T05,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T06,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T07,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T08,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T09,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T10,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T11,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T12,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T13,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T14,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D0_T15,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKEND,R001_D0_T16,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKEND,R001_D0_T17,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKEND,R001_D0_T18,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKEND,R001_D0_T19,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKEND,R001_D0_T20,Circle to Madina via Legon,0,BLOCK_R001_0,SHAPE_R001_0
R001,WEEKDAY,R001_D1_T01,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T02,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T03,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T04,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T05,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T06,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T07,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T08,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T09,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T10,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T11,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T12,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T13,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T14,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKDAY,R001_D1_T15,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKEND,R001_D1_T16,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKEND,R001_D1_T17,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKEND,R001_D1_T18,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKEND,R001_D1_T19,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R001,WEEKEND,R001_D1_T20,Circle to Madina via Legon,1,BLOCK_R001_1,SHAPE_R001_1
R002,WEEKDAY,R002_D0_T01,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T02,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T03,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T04,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T05,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T06,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T07,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T08,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T09,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T10,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T11,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T12,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T13,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T14,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D0_T15,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKEND,R002_D0_T16,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKEND,R002_D0_T17,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKEND,R002_D0_T18,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKEND,R002_D0_T19,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKEND,R002_D0_T20,Kaneshie to Mallam Junction,0,BLOCK_R002_0,SHAPE_R002_0
R002,WEEKDAY,R002_D1_T01,Kaneshie to Mallam Junction,1,BLOCK_R002_1,SHAPE_R002_1
